epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.17925,0.54812,1,1,0.28381,0.00018337,0.00018337,0.00018337
2,6.2951,0.27344,1,1,0.17615,0.000375818,0.000375818,0.000375818
3,7.68835,0.11454,1,1,0.03237,0.000560345,0.000560345,0.000560345
4,9.1133,0.21268,1,1,0.03806,0.000736951,0.000736951,0.000736951
5,10.4831,0.04991,1,1,0.11151,0.000905634,0.000905634,0.000905634
6,11.8001,0.07257,0.72881,1,0.34851,0.0010664,0.0010664,0.0010664
7,13.1242,0.0561,0.71186,1,0.4032,0.00121924,0.00121924,0.00121924
8,14.4346,0.0636,0.74576,1,0.35352,0.00136416,0.00136416,0.00136416
9,15.7102,0.03901,0.71186,1,0.54224,0.00140295,0.00140295,0.00140295
10,16.9942,0.0394,0.64407,1,1.01831,0.00136994,0.00136994,0.00136994
11,18.2707,0.0419,0.57627,1,1.14917,0.00133693,0.00133693,0.00133693
12,19.5839,0.02599,0.64407,1,0.91748,0.00130393,0.00130393,0.00130393
13,20.8553,0.0238,0.69492,1,0.68115,0.00127092,0.00127092,0.00127092
14,22.1349,0.01319,0.74576,1,0.41077,0.00123791,0.00123791,0.00123791
15,23.4673,0.0206,0.79661,1,0.2594,0.00120491,0.00120491,0.00120491
16,24.7787,0.01006,0.9661,1,0.14029,0.0011719,0.0011719,0.0011719
17,26.0782,0.04493,0.9661,1,0.07266,0.00113889,0.00113889,0.00113889
18,27.3515,0.04373,1,1,0.02781,0.00110589,0.00110589,0.00110589
19,28.679,0.02607,1,1,0.00566,0.00107288,0.00107288,0.00107288
20,29.9752,0.04219,1,1,0.01597,0.00103987,0.00103987,0.00103987
21,31.2727,0.01839,0.98305,1,0.05888,0.00100687,0.00100687,0.00100687
22,32.593,0.01273,0.94915,1,0.1796,0.000973861,0.000973861,0.000973861
23,33.9061,0.01482,0.71186,1,0.51807,0.000940855,0.000940855,0.000940855
24,35.1928,0.00875,0.66102,1,0.68262,0.000907848,0.000907848,0.000907848
25,36.5081,0.34878,0.61017,1,0.79785,0.000874842,0.000874842,0.000874842
26,37.8407,0.01793,0.74576,1,0.45544,0.000841835,0.000841835,0.000841835
27,39.1154,0.0062,0.69492,1,0.46533,0.000808828,0.000808828,0.000808828
28,40.3675,0.01058,0.71186,1,0.40991,0.000775822,0.000775822,0.000775822
29,41.6557,0.017,0.69492,1,0.48999,0.000742815,0.000742815,0.000742815
30,42.9414,0.01815,0.77966,1,0.33569,0.000709809,0.000709809,0.000709809
31,44.2275,0.04535,0.67797,1,0.53467,0.000676802,0.000676802,0.000676802
32,45.4611,0.02581,0.66102,1,0.63794,0.000643795,0.000643795,0.000643795
33,46.7558,0.02078,0.54237,1,1.04688,0.000610789,0.000610789,0.000610789
34,48.056,0.0219,0.54237,1,0.94409,0.000577782,0.000577782,0.000577782
35,49.3266,0.11794,0.55932,1,1.04346,0.000544776,0.000544776,0.000544776
36,50.6129,0.00594,0.67797,1,0.56152,0.000511769,0.000511769,0.000511769
37,51.8611,0.02324,0.74576,1,0.53833,0.000478762,0.000478762,0.000478762
38,53.1673,0.01446,0.76271,1,0.44507,0.000445756,0.000445756,0.000445756
39,54.4622,0.00394,0.77966,1,0.39221,0.000412749,0.000412749,0.000412749
40,55.7209,0.02561,0.76271,1,0.47205,0.000379743,0.000379743,0.000379743
41,57.7861,0.10051,0.81356,1,0.35583,0.000346736,0.000346736,0.000346736
42,59.1197,0.05399,0.79661,1,0.44348,0.000313729,0.000313729,0.000313729
43,60.4208,0.01114,0.67797,1,0.74194,0.000280723,0.000280723,0.000280723
44,61.7507,0.14298,0.64407,1,1.01611,0.000247716,0.000247716,0.000247716
45,63.0788,0.07793,0.72881,1,0.61865,0.00021471,0.00021471,0.00021471
46,64.3854,0.01661,0.71186,1,0.67896,0.000181703,0.000181703,0.000181703
47,65.6758,0.01839,0.71186,1,0.75366,0.000148696,0.000148696,0.000148696
48,66.9628,0.00998,0.66102,1,0.78638,0.00011569,0.00011569,0.00011569
49,68.2653,0.0784,0.74576,1,0.65186,8.26832e-05,8.26832e-05,8.26832e-05
50,69.5658,0.01606,0.72881,1,0.66016,4.96766e-05,4.96766e-05,4.96766e-05
